category,K,seed,weighted_score,task_type,min_fold_size
Absorption,3,0,-0.6255339330480832,Regression,47
Absorption,3,7,-0.6255339330480832,Regression,47
Absorption,3,42,-0.6255339330480832,Regression,47
Absorption,3,123,-0.6255339330480832,Regression,47
Absorption,3,2024,-0.6255339330480832,Regression,47
Absorption,4,0,-0.13738558399365158,Regression,47
Absorption,4,7,-0.13738558399365158,Regression,47
Absorption,4,42,-0.13738558399365158,Regression,47
Absorption,4,123,-0.13738558399365158,Regression,47
Absorption,4,2024,-0.13738558399365158,Regression,47
Absorption,5,0,-0.1487752832789513,Regression,16
Absorption,5,7,-0.22901988273968304,Regression,16
Absorption,5,42,-0.23885223077726267,Regression,16
Absorption,5,123,-0.22901988273968304,Regression,16
Absorption,5,2024,-0.1487752832789513,Regression,16
Absorption,6,0,0.025713066147011767,Regression,47
Absorption,6,7,0.008944175474795249,Regression,16
Absorption,6,42,0.008944175474795235,Regression,16
Absorption,6,123,-0.025992684519025103,Regression,16
Absorption,6,2024,-0.0625725632301748,Regression,16
Absorption,7,0,0.0007725373905963777,Regression,16
Absorption,7,7,-0.09218643826065079,Regression,16
Absorption,7,42,-0.0030540395435368103,Regression,16
Absorption,7,123,-0.0030540395435367925,Regression,16
Absorption,7,2024,-0.01481213625780064,Regression,16
Absorption,8,0,-0.17876203627416679,Regression,16
Absorption,8,7,-0.17876203627416676,Regression,16
Absorption,8,42,-0.12080344137593303,Regression,16
Absorption,8,123,-0.1788103974365535,Regression,16
Absorption,8,2024,-0.18033507110625813,Regression,16
Absorption,10,0,-0.013419674201149243,Regression,16
Absorption,10,7,-0.0055566975677910435,Regression,16
Absorption,10,42,-0.015323084396369833,Regression,16
Absorption,10,123,0.009377600596631595,Regression,16
Absorption,10,2024,-0.0589353452533076,Regression,16
Distribution,3,0,0.7088669950738916,Classification,132
Distribution,3,7,0.7182266009852217,Classification,131
Distribution,3,42,0.7004926108374384,Classification,137
Distribution,3,123,0.7088669950738916,Classification,132
Distribution,3,2024,0.7088669950738916,Classification,132
Distribution,4,0,0.734975369458128,Classification,120
Distribution,4,7,0.7285714285714285,Classification,121
Distribution,4,42,0.7285714285714285,Classification,121
Distribution,4,123,0.734975369458128,Classification,120
Distribution,4,2024,0.734975369458128,Classification,120
Distribution,5,0,0.758128078817734,Classification,118
Distribution,5,7,0.7684729064039408,Classification,118
Distribution,5,42,0.7689655172413793,Classification,118
Distribution,5,123,0.7689655172413793,Classification,118
Distribution,5,2024,0.7689655172413793,Classification,118
Distribution,6,0,0.765024630541872,Classification,118
Distribution,6,7,0.787192118226601,Classification,118
Distribution,6,42,0.783743842364532,Classification,113
Distribution,6,123,0.787192118226601,Classification,118
Distribution,6,2024,0.7822660098522167,Classification,119
Distribution,7,0,0.7645320197044335,Classification,46
Distribution,7,7,0.7694581280788177,Classification,48
Distribution,7,42,0.7891625615763547,Classification,114
Distribution,7,123,0.7684729064039408,Classification,48
Distribution,7,2024,0.7679802955665025,Classification,49
Distribution,8,0,0.7699507389162562,Classification,45
Distribution,8,7,0.7724137931034483,Classification,46
Distribution,8,42,0.776847290640394,Classification,22
Distribution,8,123,0.7699507389162562,Classification,45
Distribution,8,2024,0.8004926108374384,Classification,11
Distribution,10,0,0.7773399014778325,Classification,41
Distribution,10,7,0.787192118226601,Classification,42
Distribution,10,42,0.7945812807881774,Classification,4
Distribution,10,123,0.7773399014778325,Classification,11
Distribution,10,2024,0.7733990147783252,Classification,11
Metabolism,3,0,0.734948726430698,Classification,1034
Metabolism,3,7,0.7476844194508766,Classification,1034
Metabolism,3,42,0.734948726430698,Classification,1034
Metabolism,3,123,0.7431359576579557,Classification,1034
Metabolism,3,2024,0.7476844194508766,Classification,1034
Metabolism,4,0,0.7508269930532584,Classification,974
Metabolism,4,7,0.7647204763479987,Classification,973
Metabolism,4,42,0.7583526298379094,Classification,974
Metabolism,4,123,0.7449553423751241,Classification,974
Metabolism,4,2024,0.7621567978828978,Classification,976
Metabolism,5,0,0.7579391333112802,Classification,155
Metabolism,5,7,0.7556235527621568,Classification,155
Metabolism,5,42,0.7579391333112802,Classification,155
Metabolism,5,123,0.7556235527621568,Classification,155
Metabolism,5,2024,0.7556235527621568,Classification,155
Metabolism,6,0,0.7544657624875951,Classification,155
Metabolism,6,7,0.7523982798544492,Classification,155
Metabolism,6,42,0.7551273569302018,Classification,157
Metabolism,6,123,0.7447072444591465,Classification,157
Metabolism,6,2024,0.7567813430367185,Classification,155
Metabolism,7,0,0.759014224280516,Classification,155
Metabolism,7,7,0.7624875951042012,Classification,155
Metabolism,7,42,0.7623221964935495,Classification,155
Metabolism,7,123,0.7637280846840887,Classification,155
Metabolism,7,2024,0.7626529937148528,Classification,155
Metabolism,8,0,0.7545484617929209,Classification,155
Metabolism,8,7,0.7506615944426067,Classification,155
Metabolism,8,42,0.750496195831955,Classification,155
Metabolism,8,123,0.7545484617929209,Classification,155
Metabolism,8,2024,0.7502480979159775,Classification,155
Metabolism,10,0,0.7632318888521337,Classification,120
Metabolism,10,7,0.7532252729077076,Classification,155
Metabolism,10,42,0.7510750909692359,Classification,120
Metabolism,10,123,0.7511577902745616,Classification,120
Metabolism,10,2024,0.7636453853787628,Classification,120
Excretion,3,0,-0.0928842266610135,Regression,10
Excretion,3,7,-0.19615810944239676,Regression,9
Excretion,3,42,-0.10009324479879038,Regression,10
Excretion,3,123,-0.06677643443511154,Regression,10
Excretion,3,2024,-0.0928842266610135,Regression,10
Excretion,4,0,-0.18247350443205398,Regression,10
Excretion,4,7,-0.24636099825101948,Regression,10
Excretion,4,42,-0.35677219446445235,Regression,9
Excretion,4,123,-0.3567721944644524,Regression,9
Excretion,4,2024,-0.16770753851093254,Regression,10
Excretion,5,0,-0.20601209002217097,Regression,9
Excretion,5,7,-0.17932553550510644,Regression,10
Excretion,5,42,-0.13400851296731658,Regression,10
Excretion,5,123,-0.2151823022615653,Regression,9
Excretion,5,2024,-0.2158223036919982,Regression,10
Excretion,6,0,-0.18832030470128322,Regression,10
Excretion,6,7,-0.24454111341235582,Regression,9
Excretion,6,42,-0.22327388098379977,Regression,9
Excretion,6,123,-0.1607393477458247,Regression,9
Excretion,6,2024,-0.27614117841213925,Regression,9
Excretion,7,0,-0.21572269918782325,Regression,10
Excretion,7,7,-0.15471505697823346,Regression,9
Excretion,7,42,-0.27063224180891365,Regression,9
Excretion,7,123,-0.29098981575871313,Regression,9
Excretion,7,2024,-0.24815460277436996,Regression,10
Excretion,8,0,-0.13651460225217213,Regression,9
Excretion,8,7,-0.22299397433992516,Regression,4
Excretion,8,42,-0.15651518125222538,Regression,4
Excretion,8,123,-0.14491006589088376,Regression,9
Excretion,8,2024,-0.24272901182168471,Regression,4
Excretion,10,0,-0.2237524127247331,Regression,4
Excretion,10,7,-0.1902851851321477,Regression,4
Excretion,10,42,-0.196827093373914,Regression,4
Excretion,10,123,-0.658473772226571,Regression,4
Excretion,10,2024,-0.13916063238062643,Regression,4
Toxicity,3,0,0.7145038167938931,Classification,14
Toxicity,3,7,0.6916030534351145,Classification,14
Toxicity,3,42,0.716030534351145,Classification,14
Toxicity,3,123,0.716030534351145,Classification,14
Toxicity,3,2024,0.7145038167938931,Classification,14
Toxicity,4,0,0.7297709923664122,Classification,13
Toxicity,4,7,0.7297709923664122,Classification,13
Toxicity,4,42,0.7297709923664122,Classification,13
Toxicity,4,123,0.7297709923664122,Classification,13
Toxicity,4,2024,0.6351145038167939,Classification,14
Toxicity,5,0,0.7908396946564885,Classification,13
Toxicity,5,7,0.7694656488549618,Classification,13
Toxicity,5,42,0.766412213740458,Classification,13
Toxicity,5,123,0.766412213740458,Classification,13
Toxicity,5,2024,0.7816793893129771,Classification,13
Toxicity,6,0,0.7404580152671756,Classification,13
Toxicity,6,7,0.7450381679389313,Classification,13
Toxicity,6,42,0.76793893129771,Classification,13
Toxicity,6,123,0.7404580152671756,Classification,13
Toxicity,6,2024,0.7404580152671756,Classification,13
Toxicity,7,0,0.7557251908396947,Classification,13
Toxicity,7,7,0.7419847328244275,Classification,13
Toxicity,7,42,0.7648854961832061,Classification,13
Toxicity,7,123,0.7404580152671756,Classification,13
Toxicity,7,2024,0.7633587786259542,Classification,13
Toxicity,8,0,0.7389312977099237,Classification,13
Toxicity,8,7,0.7557251908396947,Classification,13
Toxicity,8,42,0.7648854961832061,Classification,13
Toxicity,8,123,0.7557251908396947,Classification,13
Toxicity,8,2024,0.7587786259541984,Classification,13
Toxicity,10,0,0.732824427480916,Classification,13
Toxicity,10,7,0.76793893129771,Classification,13
Toxicity,10,42,0.7694656488549618,Classification,13
Toxicity,10,123,0.7725190839694657,Classification,13
Toxicity,10,2024,0.7618320610687023,Classification,13
