descriptor,importance_share
TPSA,0.09772473
fr_COO,0.05522312
NumHDonors,0.028116548
NumSaturatedHeterocycles,0.012704614
EState_VSA10,0.011640282
fr_Al_OH,0.011587304
fr_imidazole,0.010912351
NHOHCount,0.0105532175
SlogP_VSA2,0.009814453
VSA_EState3,0.009622493
NumHeteroatoms,0.009041635
PEOE_VSA13,0.008855205
MaxAbsPartialCharge,0.0087089
BertzCT,0.008351201
SMR_VSA1,0.008283779
MolMR,0.0080487225
BCUT2D_MRLOW,0.007959735
MinPartialCharge,0.007872771
Phi,0.0070633814
qed,0.0070270686
PEOE_VSA10,0.0069741956
NumAmideBonds,0.0068988786
Chi0n,0.006750252
SlogP_VSA10,0.006726152
PEOE_VSA3,0.0065891035
PEOE_VSA11,0.0065802885
Chi4n,0.0063549103
fr_ether,0.0062980615
Kappa3,0.0062659597
SMR_VSA3,0.006190298
PEOE_VSA2,0.0060018236
BCUT2D_CHGHI,0.005881016
BCUT2D_MWHI,0.0058622574
MaxPartialCharge,0.0057495283
NumAromaticHeterocycles,0.0057277307
PEOE_VSA14,0.00565449
SlogP_VSA3,0.0056128683
fr_ketone,0.005600185
ExactMolWt,0.0054446952
MinAbsPartialCharge,0.0054115495
fr_Ndealkylation2,0.005344157
fr_pyridine,0.0053070807
SlogP_VSA5,0.0053013004
VSA_EState5,0.0052919677
fr_alkyl_halide,0.005224761
SlogP_VSA8,0.0051963325
BCUT2D_LOGPLOW,0.0051942267
FractionCSP3,0.0051891
MaxAbsEStateIndex,0.0051849065
fr_allylic_oxid,0.0051839137
PEOE_VSA9,0.005159021
RingCount,0.0051506427
MinEStateIndex,0.0050991117
fr_NH1,0.0050743343
SPS,0.0050731082
NOCount,0.0050724773
fr_NH0,0.0050700596
Kappa2,0.0050658304
fr_C_O_noCOO,0.005019249
BCUT2D_LOGPHI,0.0049982914
EState_VSA1,0.00493523
HallKierAlpha,0.0048987945
BCUT2D_CHGLO,0.0048863785
Chi3v,0.0048696175
MolLogP,0.0048237387
EState_VSA9,0.0047598234
Chi4v,0.004745663
PEOE_VSA6,0.0047227214
fr_urea,0.0047126883
PEOE_VSA1,0.0046400363
NumHeterocycles,0.0046087084
MolWt,0.004584166
VSA_EState7,0.0044869636
NumAliphaticHeterocycles,0.0044275294
SMR_VSA7,0.0043895175
fr_Al_OH_noTert,0.004387993
FpDensityMorgan1,0.004306375
BCUT2D_MRHI,0.0042907414
fr_Ar_N,0.004258764
BCUT2D_MWLOW,0.004212962
Chi2v,0.0041893935
Chi1,0.0041862447
EState_VSA2,0.0041267285
SMR_VSA6,0.0041112117
EState_VSA3,0.004077138
fr_NH2,0.004076599
Chi1n,0.0040626596
SMR_VSA5,0.0040570446
Chi0,0.0040161978
fr_bicyclic,0.003999532
NumUnspecifiedAtomStereoCenters,0.003984672
FpDensityMorgan3,0.0039505544
SlogP_VSA6,0.0039022095
EState_VSA6,0.0038815693
SMR_VSA9,0.0038674944
VSA_EState9,0.0038546585
fr_Al_COO,0.00379708
PEOE_VSA7,0.0037516518
VSA_EState8,0.0037149247
Chi0v,0.0036918386
fr_imide,0.0036755665
VSA_EState1,0.0036744536
SMR_VSA10,0.0036630952
EState_VSA4,0.0036594365
SlogP_VSA1,0.0036454604
SMR_VSA4,0.003626515
Chi3n,0.0036226674
fr_aniline,0.0035901493
FpDensityMorgan2,0.003579329
PEOE_VSA12,0.0035674297
AvgIpc,0.0035618967
VSA_EState6,0.0035612672
VSA_EState4,0.003550408
fr_Ar_NH,0.0035172198
PEOE_VSA8,0.0034730732
Kappa1,0.0034479958
NumHAcceptors,0.0034412623
BalabanJ,0.0034265395
SlogP_VSA12,0.003409053
EState_VSA5,0.003374566
Chi2n,0.003332731
fr_thiophene,0.0032838609
fr_para_hydroxylation,0.0032828297
SlogP_VSA4,0.003252693
HeavyAtomMolWt,0.0032419234
MinAbsEStateIndex,0.003197067
EState_VSA7,0.0031162843
NumRotatableBonds,0.0031095115
VSA_EState2,0.0030392366
NumValenceElectrons,0.0030244836
Chi1v,0.0030162276
fr_halogen,0.0028159888
EState_VSA8,0.002808724
VSA_EState10,0.0026869392
PEOE_VSA4,0.0026607714
fr_C_O,0.002446357
NumSaturatedCarbocycles,0.0022473224
LabuteASA,0.0022375383
fr_Ndealkylation1,0.00217203
PEOE_VSA5,0.0021334994
fr_ArN,0.0018249952
NumAtomStereoCenters,0.0018040349
