descriptor,importance_share
fr_ester,0.038822122
fr_Al_COO,0.03651204
EState_VSA1,0.030202407
MinEStateIndex,0.020018151
SlogP_VSA6,0.014589866
fr_methoxy,0.013891058
Ipc,0.013652234
SMR_VSA4,0.013303851
NHOHCount,0.012976765
PEOE_VSA13,0.012456689
MolLogP,0.0123410635
SMR_VSA3,0.011929832
SlogP_VSA1,0.011628678
MolMR,0.011422546
fr_ketone_Topliss,0.011340669
NumHeteroatoms,0.01128965
fr_COO,0.011269597
VSA_EState5,0.00981263
NumAtomStereoCenters,0.009627359
VSA_EState6,0.009497309
BCUT2D_MRHI,0.009460696
SlogP_VSA3,0.009412955
NumValenceElectrons,0.00917055
HallKierAlpha,0.008834575
fr_halogen,0.0087023815
NOCount,0.008619397
SPS,0.00817753
MinPartialCharge,0.008098931
TPSA,0.008048429
SMR_VSA7,0.007983
FractionCSP3,0.007933383
BCUT2D_MRLOW,0.007592094
SlogP_VSA8,0.0073419954
NumRotatableBonds,0.007330938
RingCount,0.007128978
BCUT2D_MWLOW,0.0071122777
PEOE_VSA6,0.0070780423
SMR_VSA6,0.0070571583
NumHAcceptors,0.0069411453
BCUT2D_CHGHI,0.006739335
VSA_EState7,0.0066990415
SMR_VSA1,0.0066438476
BCUT2D_LOGPHI,0.0066084797
PEOE_VSA5,0.0066012205
MaxAbsPartialCharge,0.006527873
fr_NH0,0.0064708143
EState_VSA9,0.0064646695
SlogP_VSA2,0.006377344
fr_Al_OH,0.0063077593
MaxPartialCharge,0.0062586055
EState_VSA5,0.006174035
SMR_VSA9,0.006113847
Chi1,0.0060826214
SlogP_VSA4,0.0060476027
fr_ether,0.006007459
SMR_VSA5,0.005930227
MinAbsPartialCharge,0.005927986
NumAliphaticHeterocycles,0.0058865603
BCUT2D_LOGPLOW,0.0058716536
BalabanJ,0.00581526
fr_Imine,0.005696131
fr_ketone,0.0056948895
fr_Ndealkylation2,0.005649122
EState_VSA2,0.0055930126
PEOE_VSA2,0.005577644
VSA_EState9,0.005576122
SlogP_VSA10,0.0055462774
VSA_EState3,0.005542938
fr_bicyclic,0.0055050263
NumHeterocycles,0.005447005
PEOE_VSA10,0.005444679
Chi2n,0.0053273584
VSA_EState4,0.0053252056
Chi1v,0.0052168444
SlogP_VSA5,0.0052111405
Chi2v,0.0051251994
PEOE_VSA3,0.0050626476
NumAromaticCarbocycles,0.0050326567
Chi0n,0.00502344
fr_imidazole,0.005003544
fr_para_hydroxylation,0.005001303
NumAromaticRings,0.004992317
fr_piperzine,0.004975335
Chi4n,0.0049154586
EState_VSA10,0.004883619
FpDensityMorgan1,0.0048433016
fr_NH1,0.0048412136
PEOE_VSA4,0.0048116534
Kappa3,0.0048009004
BertzCT,0.0047451924
EState_VSA8,0.0047280877
VSA_EState1,0.0046869623
PEOE_VSA12,0.004684632
Chi3v,0.004681305
EState_VSA7,0.004535613
Phi,0.00428616
Chi4v,0.0042729983
SlogP_VSA12,0.00424776
VSA_EState10,0.004211632
BCUT2D_CHGLO,0.004172168
SMR_VSA10,0.004167113
PEOE_VSA7,0.004115521
fr_aryl_methyl,0.004054557
