descriptor,importance_share
MolLogP,0.056523275
SMR_VSA7,0.02748442
fr_COO,0.020837624
FractionCSP3,0.014960977
NumAromaticHeterocycles,0.012922386
Chi2v,0.011808932
BCUT2D_MRHI,0.011640914
MaxAbsEStateIndex,0.011540985
fr_piperdine,0.010916987
fr_ester,0.010032663
PEOE_VSA13,0.009883831
fr_COO2,0.009362461
NumUnspecifiedAtomStereoCenters,0.009088822
fr_C_O_noCOO,0.008724254
Chi0v,0.008679362
fr_Ndealkylation1,0.0086776735
NumAromaticRings,0.008487693
SlogP_VSA11,0.0083203865
NumAtomStereoCenters,0.008270459
fr_Ndealkylation2,0.008131035
SlogP_VSA6,0.0075311335
fr_ether,0.007492195
BCUT2D_CHGLO,0.0073045483
LabuteASA,0.007172658
fr_pyridine,0.0071672774
fr_Al_COO,0.00677248
fr_Ar_N,0.00672357
NumSaturatedRings,0.0066784844
Chi1,0.0062106773
HeavyAtomMolWt,0.0061405976
MolMR,0.006119233
fr_sulfonamd,0.006097308
SMR_VSA10,0.0060105873
fr_C_S,0.0059789857
AvgIpc,0.005889339
VSA_EState9,0.005861012
PEOE_VSA4,0.0058344686
HallKierAlpha,0.005706446
BCUT2D_CHGHI,0.0056511937
SMR_VSA6,0.0056304485
fr_Al_OH_noTert,0.0055700643
NumRotatableBonds,0.005554512
fr_allylic_oxid,0.0055543496
SlogP_VSA8,0.0055528292
BalabanJ,0.0053199776
EState_VSA8,0.0053190324
Chi3n,0.005267086
NumSaturatedCarbocycles,0.0052320226
fr_piperzine,0.0052048746
NumHeteroatoms,0.0050984817
NumAliphaticCarbocycles,0.005064676
Chi0,0.005003297
PEOE_VSA12,0.0049790903
NumHDonors,0.004935391
BCUT2D_MWHI,0.0049340734
SlogP_VSA2,0.0048933616
SlogP_VSA1,0.0048677875
SlogP_VSA10,0.004860528
ExactMolWt,0.0047798646
MinAbsPartialCharge,0.004754053
NHOHCount,0.004749409
Chi1v,0.0047158226
fr_aniline,0.0047101667
Phi,0.004688186
MaxAbsPartialCharge,0.00467649
fr_NH0,0.004657959
SMR_VSA3,0.0046529854
FpDensityMorgan3,0.004635995
VSA_EState10,0.0046354746
SMR_VSA4,0.004602059
BertzCT,0.0045808614
fr_imidazole,0.0045607355
PEOE_VSA3,0.0045603015
BCUT2D_MRLOW,0.004550525
PEOE_VSA14,0.0045308108
PEOE_VSA6,0.0045109866
MinPartialCharge,0.0044989567
BCUT2D_LOGPHI,0.0044694347
MaxPartialCharge,0.004451576
fr_morpholine,0.004446472
EState_VSA10,0.004407407
SlogP_VSA12,0.004360591
Chi4v,0.0043576146
EState_VSA3,0.0043410184
fr_nitrile,0.004339599
Chi0n,0.004298197
SMR_VSA9,0.004254016
FpDensityMorgan1,0.004251413
NumAromaticCarbocycles,0.00420145
