descriptor,importance_share
MolMR,0.12581715
Chi1n,0.036663
VSA_EState6,0.024042586
EState_VSA10,0.022354007
MinPartialCharge,0.01896902
Chi2n,0.018171411
fr_COO,0.017754456
VSA_EState5,0.013321924
Chi4n,0.013259182
fr_bicyclic,0.012865354
SMR_VSA6,0.012579724
NumAromaticCarbocycles,0.012337639
NumRotatableBonds,0.011997589
fr_halogen,0.010937674
SMR_VSA7,0.01061954
MolLogP,0.010441414
MinEStateIndex,0.009797729
VSA_EState9,0.009464731
VSA_EState1,0.00910601
FpDensityMorgan1,0.008937979
PEOE_VSA12,0.0087020695
EState_VSA1,0.008069318
HallKierAlpha,0.008048734
EState_VSA2,0.00798733
BertzCT,0.007928369
TPSA,0.007755903
PEOE_VSA3,0.007644112
fr_alkyl_halide,0.007507293
fr_allylic_oxid,0.007450234
VSA_EState10,0.007448666
fr_C_O,0.0074280724
BCUT2D_MWLOW,0.00742068
BCUT2D_CHGLO,0.0073201647
SlogP_VSA10,0.007302745
AvgIpc,0.007245225
BalabanJ,0.00718927
NumAromaticHeterocycles,0.006843255
BCUT2D_MRLOW,0.0067809396
VSA_EState2,0.0067651113
NumAliphaticRings,0.006720756
Phi,0.0066125104
PEOE_VSA8,0.006599213
PEOE_VSA2,0.0064314282
NumValenceElectrons,0.0064285635
EState_VSA8,0.0063346117
Chi1,0.0062482124
SlogP_VSA11,0.0062341383
qed,0.0061422456
Kappa2,0.0061174287
MolWt,0.006003632
PEOE_VSA14,0.0059960163
Chi4v,0.005770231
EState_VSA3,0.0057468405
PEOE_VSA13,0.005727222
EState_VSA4,0.005630626
BCUT2D_LOGPHI,0.0056287246
MaxPartialCharge,0.0056286147
Chi3n,0.0056111896
PEOE_VSA1,0.005555066
BCUT2D_CHGHI,0.0053410167
VSA_EState3,0.0052600084
SMR_VSA5,0.005188291
VSA_EState8,0.005182485
NumSaturatedHeterocycles,0.0050356463
PEOE_VSA4,0.005004889
SlogP_VSA8,0.004984166
FractionCSP3,0.0049626403
NumHAcceptors,0.004958878
SMR_VSA3,0.004765722
SMR_VSA10,0.0047613354
LabuteASA,0.0047156936
Chi0v,0.0045796214
NOCount,0.004572588
fr_Ar_N,0.0044884374
Kappa1,0.0044647534
PEOE_VSA7,0.0044612004
NHOHCount,0.0044425502
Chi2v,0.004370653
BCUT2D_LOGPLOW,0.0043649515
SlogP_VSA1,0.0043150466
Kappa3,0.0040754415
PEOE_VSA5,0.0040392927
SlogP_VSA2,0.0040174164
VSA_EState7,0.003972788
MaxAbsEStateIndex,0.0039558215
NumSaturatedCarbocycles,0.003883402
NumHDonors,0.0038553108
PEOE_VSA9,0.0038287851
SMR_VSA1,0.0037505527
PEOE_VSA6,0.0037497445
BCUT2D_MRHI,0.0037242055
Ipc,0.003690069
SMR_VSA4,0.0036404957
MinAbsEStateIndex,0.0036392943
SlogP_VSA3,0.003582149
EState_VSA7,0.0035638555
PEOE_VSA10,0.0035212361
Chi0,0.003415233
